,Unnamed: 0_x,image_name,score_bmi30,Unnamed: 0_y,file_name,weight,height
0,0,7CF1A043-8C3B-4616-897E-FAEF5468076D,0.04785274350259852,58,7CF1A043-8C3B-4616-897E-FAEF5468076D,61,166
1,1,A0515CF3-F573-423E-A7FC-4336A888E47E,0.07510615231281614,40,A0515CF3-F573-423E-A7FC-4336A888E47E,48,157
2,2,EF8E2B2D-F3D6-40EB-8C4D-3CB5D347554B,0.2539477936733037,22,EF8E2B2D-F3D6-40EB-8C4D-3CB5D347554B,54,164
3,3,50D57451-6184-4E75-B36B-C459CAF603FC,0.1698821350163342,1,50D57451-6184-4E75-B36B-C459CAF603FC,57,163
4,4,A98BF5E7-E56C-41A8-9D95-25A82A144EC2,0.23189711818354725,43,A98BF5E7-E56C-41A8-9D95-25A82A144EC2,91,175
5,5,04921E48-9862-4C75-B06B-AA99D8A3ED2E,0.028849106695836263,97,04921E48-9862-4C75-B06B-AA99D8A3ED2E,56,161
6,6,0FEDA0A9-7787-4033-9406-2435D3B4C874,0.02691810608464106,87,0FEDA0A9-7787-4033-9406-2435D3B4C874,61,164
7,7,6764E148-35E6-4509-8D2F-7F4F365ADB5E,0.07637160940580028,77,6764E148-35E6-4509-8D2F-7F4F365ADB5E,76,165
8,8,49D3351C-5079-42BD-B2E8-83376743AD50,0.1559888129585079,93,49D3351C-5079-42BD-B2E8-83376743AD50,67,174
9,9,AD610A9E-639D-459B-8512-1B977A5604B9,0.19900875334261586,108,AD610A9E-639D-459B-8512-1B977A5604B9,78,180
10,10,51D2A651-7C69-4D68-B214-A41BABD18134,0.3381523872826224,57,51D2A651-7C69-4D68-B214-A41BABD18134,94,184
11,11,8F07F1C9-CE82-4BD1-94E5-FC9D257EEC67,0.12341023641341965,39,8F07F1C9-CE82-4BD1-94E5-FC9D257EEC67,61,162
12,12,5E735A7F-6CA4-43E6-9F26-6980C3734A28,0.21999408163827808,90,5E735A7F-6CA4-43E6-9F26-6980C3734A28,58,161
13,13,B90D35CC-9B78-4EAE-A1C6-7E2F0A351FF5,0.3694178713838793,83,B90D35CC-9B78-4EAE-A1C6-7E2F0A351FF5,83,167
14,14,1D46240C-F511-4B17-9F25-38DCBE8A5DCA,0.2504721328435826,91,1D46240C-F511-4B17-9F25-38DCBE8A5DCA,81,179
15,15,FC863DFE-A41F-4A39-85D8-098EE072604B,0.18564839286506812,11,FC863DFE-A41F-4A39-85D8-098EE072604B,91,175
16,16,0FD71A24-B1F4-48F1-856D-18DC6BEC88F5,0.35345792332341325,5,0FD71A24-B1F4-48F1-856D-18DC6BEC88F5,77,177
17,17,B62A68D0-D5C3-46E2-B19C-0E197901DE98,0.0912930128935042,73,B62A68D0-D5C3-46E2-B19C-0E197901DE98,57,163
18,18,7E7CABA5-39BF-42E3-96A4-17A75057E054,0.2442822835408288,55,7E7CABA5-39BF-42E3-96A4-17A75057E054,82,175
19,19,B2F52A50-0FE8-46E7-A074-EAFBED6EA56D,0.4178005250799057,64,B2F52A50-0FE8-46E7-A074-EAFBED6EA56D,71,161
20,20,BC17B8B3-BBC9-4961-A4C6-659D44B6ECC1,0.08094460236493208,101,BC17B8B3-BBC9-4961-A4C6-659D44B6ECC1,62,177
21,21,A682CE6B-D80F-4FED-9BF4-728BCD5E3763,0.059353440757813763,107,A682CE6B-D80F-4FED-9BF4-728BCD5E3763,54,164
22,22,F0D90FBE-F0D2-4EE2-BBBA-1E0883F298E9,0.08400957201254182,16,F0D90FBE-F0D2-4EE2-BBBA-1E0883F298E9,61,157
23,23,21574B41-AFE7-42EE-8232-937D0591E72B,0.18485054077850824,38,21574B41-AFE7-42EE-8232-937D0591E72B,60,176
24,24,9C1D569D-45CD-4E46-BE2F-7AA028B2FC6D,0.4246464719701392,26,9C1D569D-45CD-4E46-BE2F-7AA028B2FC6D,71,171
25,25,64458E24-31BB-4F58-8C4D-3D7CB5F1AD5F,0.257354521868066,34,64458E24-31BB-4F58-8C4D-3D7CB5F1AD5F,111,192
26,26,99D07C28-F0CC-4859-A406-35F17F805BDE,0.07937844060929622,59,99D07C28-F0CC-4859-A406-35F17F805BDE,77,176
27,27,1E703DC2-9051-4084-BD64-51B9DD52F8EB,0.12885200903144148,63,1E703DC2-9051-4084-BD64-51B9DD52F8EB,50,155
28,28,011DE72F-C475-4453-B5FC-E7621ABD2EE9,0.038692383006881007,100,011DE72F-C475-4453-B5FC-E7621ABD2EE9,76,165
29,29,E30DF9A0-2124-443E-B996-91D31E130ACD,0.2915398903989061,44,E30DF9A0-2124-443E-B996-91D31E130ACD,66,178
30,30,3ECA2F5D-778E-40B1-9364-D8ED39D0EECE,0.0412732274756776,36,3ECA2F5D-778E-40B1-9364-D8ED39D0EECE,50,155
31,31,4110A9CC-E8F6-4E5F-A6E1-1954E5253889,0.10144621672095404,84,4110A9CC-E8F6-4E5F-A6E1-1954E5253889,77,177
32,32,A7C0D4BA-3011-4690-A7CB-7B978C4E86BA,0.29842647226283114,51,A7C0D4BA-3011-4690-A7CB-7B978C4E86BA,58,161
33,33,AF8F2B29-FB47-482F-9DDF-95C2383BD995,0.1775351090145158,20,AF8F2B29-FB47-482F-9DDF-95C2383BD995,68,174
34,34,489D9CE9-5446-4205-9C88-03ECA9153F74,0.3660878953073185,18,489D9CE9-5446-4205-9C88-03ECA9153F74,111,192
35,35,BDE3BBB7-2BA1-42A5-B95B-DE998973DD28,0.2726085585491464,37,BDE3BBB7-2BA1-42A5-B95B-DE998973DD28,83,167
36,36,67CBCC78-BEF8-4A21-9519-2DF0E2D60FAC,0.13993643263734276,31,67CBCC78-BEF8-4A21-9519-2DF0E2D60FAC,86,179
37,37,510D4432-1779-4458-B00D-AAB852DC7E6F,0.2682874972572357,50,510D4432-1779-4458-B00D-AAB852DC7E6F,73,157
38,38,E6057E44-568E-4E61-AC7E-7CD7D8C1EC6E,0.19679253805045135,95,E6057E44-568E-4E61-AC7E-7CD7D8C1EC6E,87,197
39,39,F71FFDB4-EEFC-4000-9E5F-F3101548EB35,0.05808324665509365,89,F71FFDB4-EEFC-4000-9E5F-F3101548EB35,61,157
40,40,0C0998A5-2D92-4FD7-9F8D-A436C183F557,0.2076390073284156,17,0C0998A5-2D92-4FD7-9F8D-A436C183F557,90,175
41,41,046F8922-8FE9-48FF-895C-0228B6AF04A7,0.1823181752430333,15,046F8922-8FE9-48FF-895C-0228B6AF04A7,67,167
42,42,D289C518-F0BC-44CA-86F3-EAE3E28894EB,0.08257718230270715,78,D289C518-F0BC-44CA-86F3-EAE3E28894EB,49,170
43,43,5BAC171C-1E48-49B2-BAE6-09BCCAB46129,0.057755860179444785,86,5BAC171C-1E48-49B2-BAE6-09BCCAB46129,47,157
44,44,47D7F57F-D2AA-4161-9585-D91B74125EE3,0.260320447209204,62,47D7F57F-D2AA-4161-9585-D91B74125EE3,117,188
45,45,E7C06C77-0802-42ED-9BD1-7DCD4DC189E6,0.15516095343734712,19,E7C06C77-0802-42ED-9BD1-7DCD4DC189E6,60,176
46,46,EF4062A8-8819-41AA-B981-5CE163F886FA,0.11308294355235493,28,EF4062A8-8819-41AA-B981-5CE163F886FA,77,176
47,47,875956B3-1F57-40E9-91F7-18C64A67A002,0.21280196581715602,72,875956B3-1F57-40E9-91F7-18C64A67A002,56,170
48,48,EEB03181-BB33-4931-8A6A-4FFBC62871D5,0.2330238503613592,8,EEB03181-BB33-4931-8A6A-4FFBC62871D5,89,188
49,49,9F38E5AB-283A-4AFB-94BC-BF13E3B8CA4B,0.07734352809037777,33,9F38E5AB-283A-4AFB-94BC-BF13E3B8CA4B,68,174
50,50,AE49BE88-023C-4826-B2DA-226FDD48D480,0.4119750848508613,66,AE49BE88-023C-4826-B2DA-226FDD48D480,95,163
51,51,52C6420D-F94A-4C00-8197-FC43929916EE,0.07576993359831592,67,52C6420D-F94A-4C00-8197-FC43929916EE,67,174
52,52,41589882-FCD1-4705-9196-EA78694FCEB8,0.09051346189716744,24,41589882-FCD1-4705-9196-EA78694FCEB8,59,172
53,53,1EDC5863-50F1-492F-A254-063531F4578B,0.14771955984473029,71,1EDC5863-50F1-492F-A254-063531F4578B,56,170
54,54,FF0B2DC9-3B5A-4246-8953-1FABA6BCCE8E,0.09838361554385967,23,FF0B2DC9-3B5A-4246-8953-1FABA6BCCE8E,79,184
55,55,67BE28F4-6248-47D1-8381-2EAAB5099400,0.10170585217110743,103,67BE28F4-6248-47D1-8381-2EAAB5099400,61,164
56,56,98E247A5-0DAD-4A1E-A612-2781D54C95BF,0.1702965685137773,6,98E247A5-0DAD-4A1E-A612-2781D54C95BF,90,175
57,57,DFE53D18-02E1-490A-A68A-FF2FF0B8A943,0.3712356580972373,81,DFE53D18-02E1-490A-A68A-FF2FF0B8A943,107,182
58,58,6F519542-E299-4AFC-B425-0FBC7899C9DF,0.4064770726092039,94,6F519542-E299-4AFC-B425-0FBC7899C9DF,95,163
59,59,FFB83BB2-B58B-48C7-9997-962A7D3BC250,0.06568875639297699,27,FFB83BB2-B58B-48C7-9997-962A7D3BC250,87,200
60,60,DED11501-1000-41D6-9CB2-C1C8D69CEC58,0.19228395200011253,4,DED11501-1000-41D6-9CB2-C1C8D69CEC58,70,180
61,61,0FE627F3-2D51-4C74-915B-02B77624B160,0.054449781202820714,46,0FE627F3-2D51-4C74-915B-02B77624B160,59,172
62,62,B4B247CE-53F7-45EC-85F3-2BB3D4428F4D,0.3535444277949075,110,B4B247CE-53F7-45EC-85F3-2BB3D4428F4D,61,164
63,63,5CC993A8-7A3B-42D5-B463-BD9289115129,0.23096570847846334,104,5CC993A8-7A3B-42D5-B463-BD9289115129,93,180
64,64,DB07A5BD-4B8B-46E1-A0FB-C90580D64F43,0.19481734811497514,7,DB07A5BD-4B8B-46E1-A0FB-C90580D64F43,74,173
65,65,AD65F415-989C-4AD7-AD5C-6EBA52A83F2C,0.034290864820553615,85,AD65F415-989C-4AD7-AD5C-6EBA52A83F2C,64,167
66,66,5284A0B6-B603-4674-A782-F56932031DCF,0.12499462700491523,80,5284A0B6-B603-4674-A782-F56932031DCF,160,67
67,67,C3180DD0-A21A-4372-84B8-915B4E00F26F,0.1400660647388038,47,C3180DD0-A21A-4372-84B8-915B4E00F26F,56,161
68,68,EFCD9A23-9EFC-4AEB-9271-C9ADDF62917A,0.4423857447487109,111,EFCD9A23-9EFC-4AEB-9271-C9ADDF62917A,61,164
69,69,333F7D58-F6F7-463A-92F6-41D1E97B2DDA,0.07274713850622193,69,333F7D58-F6F7-463A-92F6-41D1E97B2DDA,87,200
70,70,1B0DD003-6EAF-4B0D-B446-B07984758309,0.2252513479519313,9,1B0DD003-6EAF-4B0D-B446-B07984758309,71,161
71,71,ED59ED4C-004B-4342-9F79-0C2796764362,0.465995863176489,52,ED59ED4C-004B-4342-9F79-0C2796764362,71,171
72,72,690E5C47-AA71-45CB-B26D-73020FB04C56,0.08548493711327639,21,690E5C47-AA71-45CB-B26D-73020FB04C56,61,166
73,73,F4883F0D-7279-4772-B5C3-B3CBDABEFE3D,0.1334706468677207,70,F4883F0D-7279-4772-B5C3-B3CBDABEFE3D,85,175
74,74,795058EC-5A92-474F-8F0A-94DFA74EE4F7,0.11615657557451188,65,795058EC-5A92-474F-8F0A-94DFA74EE4F7,85,174
75,75,B3D598C4-9976-482E-B0EC-998F43B518AB,0.08906215786148315,12,B3D598C4-9976-482E-B0EC-998F43B518AB,68,164
76,76,0AA09892-C260-4BA8-BD5E-7FA0B92596D2,0.16681379325160786,2,0AA09892-C260-4BA8-BD5E-7FA0B92596D2,75,179
77,77,59B5B52F-9F51-4253-AE1F-27C8E2C7B8ED,0.0854917631638393,102,59B5B52F-9F51-4253-AE1F-27C8E2C7B8ED,49,170
78,78,A5693743-A522-44A1-8AF1-EDB9B539150D,0.08537664128604196,14,A5693743-A522-44A1-8AF1-EDB9B539150D,93,180
79,79,D3DB933C-157F-4852-93A4-CEE6DD4613C8,0.3869788773324898,112,D3DB933C-157F-4852-93A4-CEE6DD4613C8,117,188
80,80,661C4A2F-0F58-47ED-958D-4210FCEED34A,0.17756598996214198,75,661C4A2F-0F58-47ED-958D-4210FCEED34A,61,162
81,81,8BA07A9B-9FBB-4298-A4AC-B543E74BFD6D,0.17892609007177626,60,8BA07A9B-9FBB-4298-A4AC-B543E74BFD6D,67,167
82,82,08CB220B-A129-4075-932C-A05D767CBEBE,0.5448069799952941,96,08CB220B-A129-4075-932C-A05D767CBEBE,88,180
83,83,3975AE3D-4BD4-4574-8CB1-08678143536B,0.18034606547824464,99,3975AE3D-4BD4-4574-8CB1-08678143536B,70,180
84,84,82AA9282-A3F3-473C-8893-747ECAED1D04,0.3245825010185234,109,82AA9282-A3F3-473C-8893-747ECAED1D04,53,165
85,85,12F7CC46-E9A9-4FE8-A356-1DDBB3F032EC,0.08734207992555623,30,12F7CC46-E9A9-4FE8-A356-1DDBB3F032EC,75,179
86,86,D6BB31CC-A165-4DF7-BC72-58C291EADB01,0.15669226342390655,25,D6BB31CC-A165-4DF7-BC72-58C291EADB01,85,174
87,87,FD50E18E-FEE1-46BA-BC4C-D83C4D68486A,0.05217217079055591,0,FD50E18E-FEE1-46BA-BC4C-D83C4D68486A,62,177
88,88,928D56DC-5D11-4495-AC6B-5573B33AEE03,0.07739867874681675,10,928D56DC-5D11-4495-AC6B-5573B33AEE03,47,157
89,89,EF224E7F-2986-44AD-9131-4BE6CFA44B73,0.14220377981712254,3,EF224E7F-2986-44AD-9131-4BE6CFA44B73,64,167
90,90,143DD69D-81AE-4B76-A9F3-5BBCBB8F6870,0.2881706705503125,49,143DD69D-81AE-4B76-A9F3-5BBCBB8F6870,74,173
91,91,7EB8C457-3D3A-43AE-B953-B268892F28EF,0.05135836955274791,56,7EB8C457-3D3A-43AE-B953-B268892F28EF,67,160
92,92,21FD9D6F-6B84-45CA-8434-69940BDF99F4,0.14349548727095487,61,21FD9D6F-6B84-45CA-8434-69940BDF99F4,81,179
93,93,DF7A1891-6EAF-4499-9BBA-9FD53E3E04B6,0.04582689359802666,13,DF7A1891-6EAF-4499-9BBA-9FD53E3E04B6,78,184
94,94,C50A7385-4198-4327-BD7D-08C0091E827A,0.2534356347517881,74,C50A7385-4198-4327-BD7D-08C0091E827A,89,188
95,95,EE859ED9-7772-4097-A4E9-086DD29826FD,0.1112852844211186,98,EE859ED9-7772-4097-A4E9-086DD29826FD,68,164
96,96,923E4A6A-C9BC-4679-968F-498AEACF7DB3,0.26461206178495633,82,923E4A6A-C9BC-4679-968F-498AEACF7DB3,86,179
97,97,754E6542-1167-49DA-85C3-1AB4523A41F9,0.20669000024480405,76,754E6542-1167-49DA-85C3-1AB4523A41F9,48,157
98,98,121891F2-C802-4B5C-B872-38E8AA39F06E,0.10052233039525346,106,121891F2-C802-4B5C-B872-38E8AA39F06E,66,178
99,99,CE8A6316-D4E4-4AB1-B2A5-D28595B2DAFB,0.26834268018071983,92,CE8A6316-D4E4-4AB1-B2A5-D28595B2DAFB,78,180
100,100,37E98630-3D54-4941-8640-0CB560FA6102,0.2692830898150376,42,37E98630-3D54-4941-8640-0CB560FA6102,73,157
